Country,Sub Region,Region,GER - Primary - Capped to 100 pc,GER - Secondary - Capped to 100 pc,"Gross enrolment ratio, tertiary, both sexes (%)",Resource Dependence,GDP per capita
Cyprus,Western Asia,Asia,100,96.60427182,43.14951,0.1,27245.74462
Czech Republic,Eastern Europe,Europe,100,97.12410273,58.45059545,0.4,19502.41733
Democratic People's Republic of Korea,Eastern Asia,Asia,99.78939,100,30.59167,0,#N/A
Democratic Republic of the Congo,Middle Africa,Africa,98.2635525,39.87690625,6.166135714,38.1,#N/A
Denmark,Northern Europe,Europe,100,100,77.72192727,1.3,61330.91263
Djibouti,Eastern Africa,Africa,57.02936,32.877506,2.98280125,3.2,1813.596226
Dominica,Caribbean,Americas,100,100,,0.2,7251.835059
Dominican Republic,Caribbean,Americas,100,75.533731,47.121345,2,6147.343569
Ecuador,South America,Americas,100,78.88019,39.67597333,14.8,6345.840725
Egypt,Northern Africa,Africa,100,79.74733429,29.43450364,8.5,#N/A
El Salvador,Central America,Americas,100,72.31662818,25.90441455,2.5,4102.063852
Equatorial Guinea,Middle Africa,Africa,84.27053833,27.37131,,43.3,18918.27683
Eritrea,Eastern Africa,Africa,58.453815,31.833711,1.960575,19.2,0
Estonia,Northern Europe,Europe,100,100,68.629709,2.7,20147.77822
Ethiopia,Eastern Africa,Africa,88.996228,31.25239667,5.6821025,12.7,573.5659603
Fiji,Melanesia,Oceania,100,89.33745,16.044665,2.3,5112.38189
Finland,Northern Europe,Europe,99.37257364,100,92.58188909,1.5,49864.57625
France,Western Europe,Europe,100,100,57.46285909,0.1,42546.83879
Gabon,Middle Africa,Africa,100,,,37.4,10772.06175
Gambia,Western Africa,Africa,87.081353,58.04269333,2.46131,7.1,#N/A
Georgia,Western Asia,Asia,100,88.7265525,35.14922,1.3,4429.650075
Germany,Western Europe,Europe,100,100,63.26511,0.1,47767.00191
Ghana,Western Africa,Africa,100,55.246055,9.83655,21.1,1441.636453
Greece,Southern Europe,Europe,99.24184375,100,96.8358275,0.2,21627.35429
Grenada,Caribbean,Americas,100,100,52.77734,..,8573.693949
Guatemala,Central America,Americas,100,57.65692636,17.62852,4.8,3666.594606
Guinea,Western Africa,Africa,84.38803091,33.51283,7.962311818,21.9,539.615775
Guinea-Bissau,Western Africa,Africa,100,31.58688,2.334575,17.7,615.9409222
Guyana,South America,Americas,89.87161125,90.10292143,12.97544556,21.3,4028.163991
Honduras,Central America,Americas,100,68.28481,19.89775,5.9,2434.280046
Hungary,Eastern Europe,Europe,100,99.66833818,61.47933364,0.5,14021.90227
Iceland,Northern Europe,Europe,98.38746,100,74.79164333,0,52036.73181
India,Southern Asia,Asia,100,60.642762,16.669216,4.9,1576.817669
Indonesia,South-Eastern Asia,Asia,100,72.79359727,23.31912727,6.3,3499.588735
Iran (Islamic Republic of),Southern Asia,Asia,100,81.87485455,40.15376182,29.8,5442.874771
Iraq,Western Asia,Asia,100,50.537385,15.99395,41.5,6336.468066
Ireland,Northern Europe,Europe,100,100,60.420339,0.1,54321.28772
Israel,Western Asia,Asia,100,100,62.109198,0.3,37206.18294
